,error,accuracy,precision,recall,f1-score
1,0.4566456775885069,0.7914747251397334,0.5594202898550724,0.5520020800832033,0.5556864284779479
3,0.3731789584921944,0.8151219212579079,0.6208791208791209,0.5582423296931878,0.5878970427163198
5,0.35625621952466047,0.8245807997051778,0.6490066225165563,0.5605824232969319,0.6015624999999999
7,0.34800357140700355,0.8289417111971009,0.6595488721804511,0.5702028081123245,0.6116301771022172
9,0.34427113336887993,0.8309071924328972,0.6663622526636225,0.5691627665106604,0.6139391389706913
11,0.34148145700369703,0.8315828266077022,0.6697416974169742,0.5663026521060842,0.613693998309383
13,0.34040802160299305,0.83078434985566,0.6681047765793529,0.5637025481019241,0.6114793400084615
15,0.3393273898163001,0.8315214053190836,0.671860392645684,0.5605824232969319,0.61119773210489
17,0.33836264862590265,0.8348381549044899,0.680161943319838,0.5678627145085804,0.6189598979736433
19,0.33783727641451233,0.8341010994410663,0.6784044873792459,0.5660426417056682,0.6171509567682495
21,0.33735432032374274,0.8355752103679135,0.6843267108167771,0.5642225689027561,0.6184979335898533
23,0.3371928957171465,0.8347153123272526,0.683275150745795,0.5598023920956838,0.6154066028297842
25,0.3367338615401929,0.8348381549044899,0.6825497002208899,0.5624024960998439,0.616678545972915
27,0.33666014782102205,0.8361894232540998,0.6857863220926568,0.5657826313052522,0.6200313434962246
29,0.3367162842795845,0.8360051593882439,0.6850220264317181,0.5660426417056682,0.619874715261959
31,0.33685372195609997,0.8348381549044899,0.6819754639823844,0.5637025481019241,0.6172241992882562
33,0.33673249758458995,0.8355137890792949,0.684459886291851,0.5634425377015081,0.6180832857957788
35,0.33645980592680125,0.8349609974817271,0.6817184070241455,0.5652626105044202,0.6180525941719972
37,0.3366171503587581,0.8329340949573122,0.6771554436752675,0.5595423816952678,0.612756264236902
39,0.33635640485530205,0.8333640439776426,0.6773082942097026,0.5626625065002601,0.6146854140036926
41,0.33639329407724156,0.8337939929979731,0.6779026217228464,0.5647425897035881,0.6161702127659574
43,0.3365214778684485,0.8328112523800749,0.6752963194011229,0.5629225169006761,0.6140102098695406
45,0.33655246169711106,0.8331797801117867,0.677338355304457,0.5611024440977639,0.6137656427758816
47,0.3366505519740292,0.833302622689024,0.6780994336060415,0.5603224128965159,0.6136104783599089
49,0.3367245802945702,0.833302622689024,0.6784363177805801,0.5595423816952678,0.6132801367911086
51,0.3369653147554949,0.8334868865548799,0.6793048973143759,0.5590223608944358,0.6133219226929112
53,0.3370758589286123,0.8334254652662613,0.6797717184527584,0.5574622984919396,0.6125714285714285
55,0.33708725946480406,0.8334254652662613,0.6790903348073278,0.5590223608944358,0.6132344552196235
57,0.3372725806554073,0.8323198820711258,0.6758034026465028,0.5577223088923557,0.611111111111111
59,0.3374048841051273,0.831951354339414,0.6751893939393939,0.5561622464898596,0.609923011120616
61,0.3373743061468175,0.8321970394938886,0.6762658227848102,0.5556422256890275,0.6100485298315731
63,0.3374148664705037,0.8328726736686936,0.6776128828544363,0.5579823192927718,0.6120062740624554
65,0.33751824476256076,0.8324427246483631,0.6765634870499052,0.5569422776911076,0.6109526525955504
67,0.3375845608010821,0.8327498310914563,0.6784238957737527,0.5551222048881955,0.6106106106106106
69,0.3377542921945822,0.8328726736686936,0.6785147572199302,0.5559022360894436,0.6111190510218665
71,0.3377724566427512,0.832626988514219,0.6782193958664547,0.5546021840873635,0.6102131311686454
73,0.3377603617264402,0.8328112523800749,0.678639542275906,0.5551222048881955,0.6106979405034325
75,0.33778089731829447,0.8328112523800749,0.6781864299302474,0.5561622464898596,0.6111428571428572
77,0.3378109493861425,0.8323198820711258,0.6769181991122384,0.5551222048881955,0.6099999999999999
79,0.3378913325883992,0.831951354339414,0.6758555133079848,0.5546021840873635,0.609254498714653
81,0.3378660438603364,0.8315214053190836,0.6750238019676293,0.5530421216848674,0.607974846362727
83,0.33799275619813235,0.8313985627418463,0.6748174023499524,0.5525221008840354,0.6075768406004288
85,0.3381344279924366,0.8321356182052699,0.6771728748806113,0.5530421216848674,0.6088449978531558
87,0.33818709771643735,0.8326884098028376,0.6784351145038168,0.5546021840873635,0.6103004291845494
89,0.3382229869300912,0.8323198820711258,0.6779336734693877,0.5527821112844514,0.6089945574334001
91,0.3383152747526524,0.8317056691849395,0.6764518187619656,0.5512220488819553,0.6074498567335244
93,0.33833637065641303,0.8315828266077022,0.676923076923077,0.5491419656786272,0.6063738156761413
95,0.3384459588595676,0.8320127756280327,0.67776,0.5507020280811232,0.6076603069860852
97,0.33847971577828206,0.8317670904735581,0.6758817921830315,0.5530421216848674,0.6083226083226083
99,0.3385050827323753,0.8316442478963209,0.6763485477178424,0.5509620384815392,0.6072503223957587
